loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G)
2018-10-13 01:18:58.282 -0400,1,1539407937.000153,42.39118204921706,-72.52701465978522,63.57942,0,65.7421875,4,5,-9999,890403.1636526667,0.131011962890625,0.5712890625,-0.779388427734375,890403.1436336667,0.03521982996193002,0.1650855869233792,-0.5920231557235486,0.09737785905599594,-0.0303790383040905,-0.03097890131175518,0.08521939814090729,-0.01359212398529053,0.0146825909614563,XArbitraryZVertical,-0.292058527469635,0.07373186945915222,-0.007261592429131269,0.9535249471664429,0.1363687366247177,0.558040976524353,-0.8185308575630188
2018-10-13 01:18:58.668 -0400,2,1539407938.000153,42.39118615634962,-72.52701130702395,63.6288,0.45,166.2890625,4,5,-9999,890403.1887076667,0.1410980224609375,0.5449676513671875,-0.815948486328125,890403.1686576668,0.03405031446928879,0.1640895747452594,-0.5903886750647652,0.07217060774564743,0.008159085176885128,-0.06138594448566437,0.004587084054946899,0.01173651218414307,0.04226714372634888,XArbitraryZVertical,-0.2912404537200928,0.07346053421497345,-0.007605637889355421,0.9537935256958008,0.1357022225856781,0.5566839575767517,-0.8195651173591614
2018-10-13 01:18:58.688 -0400,3,1539407938.000153,42.39118615634962,-72.52701130702395,63.6288,0.45,166.2890625,4,5,-9999,890403.2137626667,0.1301727294921875,0.575592041015625,-0.819427490234375,890403.1937126667,0.03237023680933045,0.1640672873238515,-0.5888991107017992,0.04953140392899513,0.02660800144076347,-0.04877374321222305,0.00527876615524292,-0.01047825813293457,0.004436850547790527,XArbitraryZVertical,-0.2904688119888306,0.07372374832630157,-0.008341727778315544,0.9540024995803833,0.1358192563056946,0.5554459095001221,-0.8203853368759155
2018-10-13 01:18:58.694 -0400,4,1539407938.000153,42.39118615634962,-72.52701130702395,63.6288,0.45,166.2890625,4,5,-9999,890403.2387866668,0.1450958251953125,0.580078125,-0.8069610595703125,890403.2187676667,0.03044789691510644,0.1643786940327322,-0.5874779808451992,0.0909714549779892,0.04425237327814102,-0.07627780735492706,-0.008380874991416931,0.01498079299926758,-0.001312553882598877,XArbitraryZVertical,-0.2897189259529114,0.07417866587638855,-0.009244947694242001,0.9541869759559631,0.1362037658691406,0.5542635917663574,-0.8211209177970886
2018-10-13 01:18:58.729 -0400,5,1539407938.000153,42.39118615634962,-72.52701130702395,63.6288,0.45,166.2890625,4,5,-9999,890403.2638416667,0.1123504638671875,0.5657806396484375,-0.8022003173828125,890403.2437916667,0.02739281294535002,0.1647825508189882,-0.5855878515890584,0.1042286604642868,0.0343146063387394,-0.1104881092905998,0.00838884711265564,0.02738875150680542,0.01513683795928955,XArbitraryZVertical,-0.2887018322944641,0.07484863698482513,-0.01068279705941677,0.95442795753479,0.1367069780826569,0.5526893734931946,-0.8220978379249573
2018-10-13 01:18:58.761 -0400,6,1539407938.000153,42.39118615634962,-72.52701130702395,63.6288,0.45,166.2890625,4,5,-9999,890403.2888666667,0.096893310546875,0.58807373046875,-0.8233642578125,890403.2688466667,0.02369914050940719,0.1639817993779053,-0.5841853283288122,0.08613064885139465,0.0622704029083252,-0.110730454325676,-0.02382458746433258,0.01426064968109131,0.02077072858810425,XArbitraryZVertical,-0.2878990769386292,0.07502405345439911,-0.01227254141122103,0.9546375274658203,0.1361750513315201,0.5515199899673462,-0.8229710459709167
2018-10-13 01:18:58.784 -0400,7,1539407938.000153,42.39118615634962,-72.52701130702395,63.6288,0.45,166.2890625,4,5,-9999,890403.3289356667,0.1122894287109375,0.5594024658203125,-0.825164794921875,890403.3189266667,0.01660543192607548,0.1652420517968676,-0.5824138480227402,0.06601423770189285,0.1116461604833603,-0.1078032478690147,-0.02708205580711365,0.01715826988220215,-0.001891911029815674,XArbitraryZVertical,-0.2867760062217712,0.07667425274848938,-0.01576755195856094,0.9547930955886841,0.1373725831508636,0.5500414371490479,-0.8237611651420593
2018-10-13 01:18:58.796 -0400,8,1539407938.000153,42.39118615634962,-72.52701130702395,63.6288,0.45,166.2890625,4,5,-9999,890403.3690056667,0.128936767578125,0.5590057373046875,-0.82586669921875,890403.3439816667,0.01357637984554133,0.1667739741545672,-0.582186417564577,0.01410665549337864,0.1336557865142822,-0.07940302789211273,-0.02615207433700562,-0.004090368747711182,-0.008373379707336426,XArbitraryZVertical,-0.2865377366542816,0.07784324139356613,-0.01742386445403099,0.9547412991523743,0.1386551260948181,0.5498514771461487,-0.8236731290817261
2018-10-13 01:18:58.810 -0400,9,1539407938.000153,42.39118615634962,-72.52701130702395,63.6288,0.45,166.2890625,4,5,-9999,890403.4090756667,0.1700897216796875,0.54949951171875,-0.8256988525390625,890403.3840506667,0.009759519834186903,0.1696497238578324,-0.5834131751204457,0.003274942049756646,0.1520280689001083,-0.06236052513122559,-0.005044981837272644,0.008160531520843506,-0.008021831512451172,XArbitraryZVertical,-0.2869459390640259,0.07974480092525482,-0.01970827952027321,0.9544175267219543,0.1409092545509338,0.550875723361969,-0.8226056098937988
2018-10-13 01:18:58.816 -0400,10,1539407938.000153,42.39118615634962,-72.52701130702395,63.6288,0.45,166.2890625,4,5,-9999,890403.4491446667,0.149658203125,0.52935791015625,-0.85296630859375,890403.4241206667,0.005104857822362698,0.1710085591616764,-0.5840317506231143,-0.01286261528730392,0.09955248236656189,-0.1022015437483788,0.02189524471759796,-0.01460295915603638,-0.006200194358825684,XArbitraryZVertical,-0.2870396971702576,0.08105244487524033,-0.0221498180180788,0.9542256593704224,0.1419688910245895,0.5513918995857239,-0.8220774531364441
