loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G)
2018-10-13 13:02:57.489 -0400,1,1539450177.045967,42.39701007031127,-72.5247969758441,76.6246,0.66,107.9296875,24,30,-9999,1622.579433,0.076995849609375,0.5778045654296875,-0.82635498046875,1622.550746,2.29529731979482,0.09527230274263322,-0.6148972810928165,-0.1632010042667389,-0.2195762991905212,-0.007641619071364403,0.04645691812038422,-0.07043540477752686,0.03140521049499512,XArbitraryZVertical,-0.1655102074146271,-0.2569868564605713,0.8621419668197632,0.4040727019309998,0.07770384103059769,0.5768746137619019,-0.8131282329559326
2018-10-13 13:02:57.644 -0400,2,1539450177.045967,42.39701007031127,-72.5247969758441,76.6246,0.66,107.9296875,24,30,-9999,1622.604478125,0.0028533935546875,0.563690185546875,-0.8455963134765625,1622.57577,2.293348930522956,0.08991285269663106,-0.612432139031537,0.1632453203201294,-0.1370337456464767,-0.01925459876656532,0.001066908240318298,-0.006103157997131348,0.0007225871086120605,XArbitraryZVertical,-0.1629828363656998,-0.2568329870700836,0.8625496029853821,0.4043274819850922,0.0734722912311554,0.5748592615127563,-0.8149468302726746
2018-10-13 13:02:57.755 -0400,3,1539450177.045967,42.39701007031127,-72.5247969758441,76.6246,0.66,107.9296875,24,30,-9999,1622.629533125,0.008819580078125,0.6081085205078125,-0.8102569580078125,1622.600816125,2.294627482286619,0.08627769799936712,-0.6035310520597356,0.2819956541061401,-0.193990632891655,0.1131669580936432,-0.03457051515579224,0.008038759231567383,-0.0242542028427124,XArbitraryZVertical,-0.1595590859651566,-0.2537792325019836,0.864391028881073,0.4036882817745209,0.07094748318195343,0.5675532221794128,-0.8202739953994751
2018-10-13 13:02:57.774 -0400,4,1539450177.045967,42.39701007031127,-72.5247969758441,76.6246,0.66,107.9296875,24,30,-9999,1622.654558125,-0.0050506591796875,0.6132965087890625,-0.7636260986328125,1622.625871125,2.299569294528682,0.08585999681825851,-0.599521287720537,-0.01707206666469574,-0.1878875494003296,0.1507263034582138,-0.06526049971580505,0.03334790468215942,0.001443147659301758,XArbitraryZVertical,-0.1579921990633011,-0.2525000870227814,0.8659942150115967,0.4016656577587128,0.07079943269491196,0.5642473101615906,-0.8225643634796143
2018-10-13 13:02:57.784 -0400,5,1539450177.045967,42.39701007031127,-72.5247969758441,76.6246,0.66,107.9296875,24,30,-9999,1622.679613125,-0.0243072509765625,0.6026153564453125,-0.757049560546875,1622.650896125,2.304152079900239,0.08309382728731791,-0.6025285271844281,-0.1290332973003387,-0.2073582708835602,0.1216274201869965,-0.05170480906963348,0.05805879831314087,0.04016333818435669,XArbitraryZVertical,-0.1567806154489517,-0.2547324895858765,0.8666987419128418,0.3992039859294891,0.06838267296552658,0.5667275786399841,-0.8210623860359192
2018-10-13 13:02:57.790 -0400,6,1539450177.045967,42.39701007031127,-72.5247969758441,76.6246,0.66,107.9296875,24,30,-9999,1622.704637125,0.0050201416015625,0.577484130859375,-0.799407958984375,1622.675951125,2.308769786108649,0.08024446293623713,-0.604649824606214,-0.06531981378793716,-0.1489403247833252,0.154448077082634,-0.1025674641132355,0.03881049156188965,0.06248533725738525,XArbitraryZVertical,-0.1553535461425781,-0.2565899789333344,0.8675352334976196,0.3967477083206177,0.06594637781381607,0.5684739947319031,-0.8200536966323853
2018-10-13 13:02:57.800 -0400,7,1539450177.045967,42.39701007031127,-72.5247969758441,76.6246,0.66,107.9296875,24,30,-9999,1622.729692125,-0.0389556884765625,0.5593719482421875,-0.8585357666015625,1622.700975125,2.31324027340294,0.07824843117747619,-0.6037463051214553,0.09595619142055511,-0.1340569257736206,0.2045125812292099,-0.06996476650238037,0.01864957809448242,0.04470974206924438,XArbitraryZVertical,-0.1537442207336426,-0.2569338083267212,0.8687037229537964,0.3945896327495575,0.06434951722621918,0.5677304863929749,-0.8206954598426819
2018-10-13 13:02:57.807 -0400,8,1539450177.045967,42.39701007031127,-72.5247969758441,76.6246,0.66,107.9296875,24,30,-9999,1622.754747125,0.0586700439453125,0.653167724609375,-0.800811767578125,1622.726030125,2.319991803984481,0.07771548704212271,-0.6025450732110809,0.06653888523578644,-0.1561819911003113,0.2149718701839447,-0.05145283043384552,-0.00857466459274292,-0.01060700416564941,XArbitraryZVertical,-0.1524216532707214,-0.2570275366306305,0.8702438473701477,0.391636997461319,0.06396503001451492,0.5667411684989929,-0.8214089870452881
2018-10-13 13:02:57.815 -0400,9,1539450177.045967,42.39701007031127,-72.5247969758441,76.6246,0.66,107.9296875,24,30,-9999,1622.779771125,-0.0177001953125,0.614410400390625,-0.792236328125,1622.751085125,2.323458274082796,0.0751317451239501,-0.6036778658976686,0.009944370947778225,-0.1178517490625381,0.1025697067379951,-0.02772140502929688,0.02113199234008789,-0.03087598085403442,XArbitraryZVertical,-0.1510598510503769,-0.2582935988903046,0.8709544539451599,0.3897468447685242,0.06179426982998848,0.5676741003990173,-0.8209306597709656
2018-10-13 13:02:57.824 -0400,10,1539450177.045967,42.39701007031127,-72.5247969758441,76.6246,0.66,107.9296875,24,30,-9999,1622.804826125,-0.0210113525390625,0.5964813232421875,-0.8130950927734375,1622.776109125,2.324976852226006,0.07133187507002416,-0.5964059899380425,0.5168235898017883,-0.1820293664932251,0.1414795517921448,-0.05785316228866577,0.1090275049209595,0.02609151601791382,XArbitraryZVertical,-0.1478649526834488,-0.2559458613395691,0.8725699186325073,0.3889063894748688,0.05896705761551857,0.561672568321228,-0.8252553343772888
